Tag version: 1.1.01

563 CHN 0 51403 51305861       3211
564 CHN 0 51503 51405672       3656
565 CHN 0 51603 51505483       4099
566 CHN 0 51703 51605294       4541
567 CHN 0 51803 51705105       4986
568 CHN 0 51903 51804916       5424
569 CHN 0 52003 51904727       5871
570 CHN 0 52104 52005536         70
571 CHN 0 52204 52105347        514
572 OFL *  1
573 CHN 0 52304 52205158        957
574 CHN 0 52404 52304969       1401
575 CHN 0 52504 52404780       1843
576 CHN 0 52604 52504591       2287
577 CHN 0 52704 52604402       2732
578 CHN 0 52804 52704213       3175
579 CHN 0 52904 52804024       3618
580 CHN 0 53004 52903835       4062
581 CHN 0 53104 53003646       4506
582 CHN 0 53204 53103457       4948
583 OFL *  1
584 CHN 0 53304 53203268       5392
585 CHN 0 53404 53303080       5835
586 CHN 0 53505 53403889         34
587 CHN 0 53605 53503700        477
588 CHN 0 53705 53603511        919
589 CHN 0 53805 53703322       1364
590 CHN 0 53905 53803133       1807
591 CHN 0 54005 53902944       2251
592 CHN 0 54105 54002755       2694
593 CHN 0 54205 54102566       3138
594 OFL *  1
595 CHN 0 54305 54202377       3583
596 CHN 0 54406 54303186       4025
597 CHN 0 54506 54402997       4468
598 CHN 0 54606 54502808       4911
599 CHN 0 54706 54602619       5355
600 CHN 0 54806 54702430       5797
601 CHN 0 54906 54802241       6242
602 CHN 0 55007 54903050        439
603 CHN 0 55107 55002861        884
604 CHN 0 55207 55102672       1326
605 OFL *  1
606 CHN 0 55307 55202483       1770
607 CHN 0 55407 55302294       2214
608 CHN 0 55507 55402105       2657
609 CHN 0 55607 55501916       3102
610 CHN 0 55708 55602726       3545
611 CHN 0 55808 55702537       3987
612 CHN 0 55908 55802348       4432
613 CHN 0 56008 55902159       4874
614 CHN 0 56108 56001970       5317
615 CHN 0 56208 56101781       5761
616 CHN 0 56308 56201592       6205
617 OFL *  1
618 CHN 0 56409 56302401        403
619 CHN 0 56509 56402212        846
620 CHN 0 56609 56502023       1289
621 CHN 0 56709 56601834       1733
622 CHN 0 56809 56701645       2177
623 CHN 0 56909 56801456       2621
624 CHN 0 57009 56901267       3064
625 CHN 0 57109 57001078       3508
626 CHN 0 57209 57100889       3951
627 CHN 0 57309 57200700       4395
628 OFL *  1
629 CHN 0 57409 57300511       4837
630 CHN 0 57509 57400322       5282
631 CHN 0 57609 57500133       5725
632 CHN 0 57709 57599944       6168
633 CHN 0 57810 57700753        366
634 CHN 0 57910 57800564        810
635 CHN 0 58010 57900375       1255
636 CHN 0 58110 58000186       1697
637 CHN 0 58210 58099997       2141
638 CHN 0 58310 58199808       2584
639 OFL *  1
640 CHN 0 58410 58299619       3027
641 CHN 0 58510 58399430       3471
642 CHN 0 58610 58499241       3914
643 CHN 0 58710 58599052       4357
644 CHN 0 58810 58698863       4800
645 CHN 0 58910 58798675       5244
646 CHN 0 59010 58898486       5689
647 CHN 0 59110 58998297       6131
648 CHN 0 59212 59100104        330
649 CHN 0 59312 59199915        773
650 OFL *  1
651 CHN 0 59412 59299726       1216
652 CHN 0 59512 59399537       1660
653 CHN 0 59612 59499348       2103
654 CHN 0 59712 59599159       2547
655 CHN 0 59812 59698970       2991
656 CHN 0 59912 59798781       3433
657 CHN 0 60012 59898592       3877
658 CHN 0 60112 59998403       4321
659 CHN 0 60212 60098214       4764
660 CHN 0 60312 60198025       5208
